model,seed,accuracy,macro_f1
LogReg,0,0.983,0.9587
LogReg,1,0.977,0.9478
LogReg,42,0.978,0.9505
LogReg,123,0.979,0.9502
LogReg,2026,0.984,0.9607
RF,0,0.997,0.9927
RF,1,0.99,0.9765
RF,42,0.99,0.98
RF,123,0.996,0.9902
RF,2026,0.99,0.9753
HistGB,0,0.994,0.9877
HistGB,1,0.992,0.9814
HistGB,42,0.995,0.9902
HistGB,123,0.993,0.9826
HistGB,2026,0.991,0.9781
XGBoost,0,0.994,0.9887
XGBoost,1,0.991,0.979
XGBoost,42,0.995,0.9899
XGBoost,123,0.993,0.9826
XGBoost,2026,0.99,0.9754
MLP,0,0.993,0.9855
MLP,1,0.989,0.975
MLP,42,0.984,0.9644
MLP,123,0.986,0.9683
MLP,2026,0.988,0.9704
