model,seed,acc,f1_macro
LogReg,0,0.8045,0.7850939279690909
RF,0,0.917,0.9083010729879266
HistGB,0,0.944,0.9385824163651539
MLP,0,0.952,0.9479796600470785
XGBoost,0,0.942,0.9364302749719416
LogReg,1,0.8115,0.7915306708426889
RF,1,0.924,0.9163171623590192
HistGB,1,0.95,0.9456133938982579
MLP,1,0.968,0.9652566286552469
XGBoost,1,0.9445,0.939346101798552
LogReg,42,0.82,0.8008629273149684
RF,42,0.928,0.9211369424135382
HistGB,42,0.9555,0.9516108555880355
MLP,42,0.964,0.9608898004945268
XGBoost,42,0.9465,0.9417522079043342
LogReg,123,0.8175,0.7993843573112998
RF,123,0.9145,0.9064405811517164
HistGB,123,0.952,0.9479166666666667
MLP,123,0.9615,0.9583872745042885
XGBoost,123,0.945,0.9402848305012057
LogReg,2026,0.8215,0.8023185213425397
RF,2026,0.9245,0.9166719781382588
HistGB,2026,0.948,0.9431166185892703
MLP,2026,0.957,0.953313594755488
XGBoost,2026,0.946,0.9407759014949698
